name,location_desc,county,size,lat,lon
Alder Creek,Tributary of Big Lost River,Custer,10 mi.,47.2226847,-116.6076654
Alder Creek,Lost River Drainage,Custer,2.6 mi.,47.2226847,-116.6076654
Alex Draw,Tributary of West Camas Creek,Clark,3.2 mi.,44.461572,-112.1123112
Anderson Canyon,Tributary of Unnamed Stream,Butte,3.2 mi.,44.1534421,-111.3663261
Anderson Mill Canyon,Tributary of Henrys Fork Snake River,Fremont,5.8 mi.,44.1534421,-111.3663261
Angel Lake,Lost River Drainage,Custer,15.7 acres,43.8011616,-114.0520603
Antelope Creek,Tributary of South Fork Snake River,Bonneville,17 mi.,43.6828964,-113.6234102
Antelope Creek,Tributary of Big Lost River,"Butte, Custer",31.1 mi.,43.6828964,-113.6234102
Antelope Lakes,Mud Lake Drainage,-,0.2 acres,44.2701212,-112.6224447
Antelope Lakes,Mud Lake Drainage,Clark,0.5 acres,44.2701212,-112.6224447
Antelope Lakes,Mud Lake Drainage,-,0.1 acres,44.2701212,-112.6224447
Antelope Lakes,Mud Lake Drainage,-,0.1 acres,44.2701212,-112.6224447
Antelope Lakes,Mud Lake Drainage,-,0.1 acres,44.2701212,-112.6224447
Arrowhead Lake,Lost River Drainage,Custer,6.6 acres,43.7443342,-114.0944041
Ashton Reservoir,Tributary of Henrys Fork Snake River,Fremont,371.6 acres,44.095351,-111.4951816
Aspen Creek,Tributary of Sawmill Creek,Custer,1.9 mi.,43.6357878,-116.2986561
Austin Canyon,Tributary of Siddoway Fork,Bonneville,2.9 mi.,43.3927398,-111.0643684
Badger Creek,Tributary of Teton River,Teton,13 mi.,46.5284368,-114.8310223
Badger Creek,Snake River Drainage,Bonneville,4.6 mi.,46.5284368,-114.8310223
Badger Creek,Tributary of Little Lost River,Butte,10.9 mi.,46.5284368,-114.8310223
Bailey Creek,Snake River Drainage,Bonneville,2.4 mi.,46.2214829,-114.9039937
Bailey Creek,Tributary of Wildhorse Creek,Custer,2.4 mi.,46.2214829,-114.9039937
Baiya Naokwaide,Tributary of Wet Creek,"Butte, Custer",9.7 mi.,44.1002678,-113.4572355
Baker Draw,Henry's Fork Drainage,Fremont,4.1 mi.,44.3179747,-111.2564274
Baptie Lake,Tributary of Broad Canyon,Custer,4.6 acres,43.7764344,-114.0148136
Bartlett Creek,Lost River Drainage,Custer,4.5 mi.,42.4055504,-111.4852279
Bartlett Creek,Tributary of North Fork Big Lost River,Custer,3.7 mi.,42.4055504,-111.4852279
Basin Creek,Tributary of Wet Creek,"Butte, Custer",6.4 mi.,45.4551088,-115.6900714
Bates Creek,South Fork Drainage,Bonneville,1.8 mi.,43.0472593,-116.4744219
Bavahope Naokwaide,Tributary of Birch Creek,"Bingham, Bonneville",7.4 mi.,43.345116,-111.8304455
Bear Creek,Tributary of South Fork Snake River,Bonneville,22.1 mi.,46.0480545,-114.7300442
Bear Creek,Tributary of Robinson Creek,Fremont,3.4 mi.,46.0480545,-114.7300442
Bear Creek,Snake River Drainage,Bonneville,2.8 mi.,46.0480545,-114.7300442
Bear Creek,Tributary of Sawmill Creek,Lemhi,4.6 mi.,46.0480545,-114.7300442
Bear Creek,Tributary of Pass Creek,Custer,4.6 mi.,46.0480545,-114.7300442
Bear Creek,Tributary of Antelope Creek,Custer,4.6 mi.,46.0480545,-114.7300442
Bear Creek,Tributary of North Fork Big Lost River,Custer,2.4 mi.,46.0480545,-114.7300442
Bear Creek Lake,Lost River Drainage,Custer,4.5 acres,43.9933013,-113.5133686
Bear Gulch,Tributary of West Camas Creek,Clark,6.6 mi.,45.7048617,-116.457628
Bear Lake,Henry's Fork Drainage,Fremont,20.5 acres,42.2172123,-111.3198808
Bear Trap Creek,Tributary of Pasture Creek,Clark,1.9 mi.,45.4219475,-116.5459539
Beaver Creek,Tributary of Rock Creek,Fremont,1.8 mi.,44.4134279,-115.1481464
Beaver Creek,Tributary of Fall Creek,Bonneville,3.1 mi.,44.4134279,-115.1481464
Beaver Creek,Snake River Drainage,Bonneville,1.9 mi.,44.4134279,-115.1481464
Beaver Creek,Tributary of Camas Creek,"Clark, Jefferson",58.5 mi.,44.4134279,-115.1481464
Beaver Pond,Henry's Fork Drainage,Fremont,62.4 acres,44.211028,-111.2788385
Bell Creek,Henry's Fork Drainage,Teton,1.8 mi.,44.6426765,-115.092799
Bench Lake,Lost River Drainage,Custer,3.7 acres,43.7789044,-114.0021201
Berry Canyon,Lost River Drainage,Butte,3 mi.,48.4148898,-116.534227
Berry Creek,Tributary of Modoc Creek,Clark,4.2 mi.,48.4160057,-116.5332532
Betty Lake,Lost River Drainage,Custer,18.9 acres,43.785813,-114.0124346
Big Butte Reservoir,Lost River Drainage,Butte,0.4 acres,43.4415733,-113.1025001
Big Creek,Tributary of Wet Creek,Custer,7.1 mi.,47.5140447,-116.0665051
Big Creek Lake,Tributary of Big Creek,Custer,3.3 acres,44.1637957,-114.5027996
Big Elk Creek,Tributary of South Fork Snake River,Bonneville,11.2 mi.,45.8276089,-115.4405666
Big Fall Creek,Tributary of Summit Creek,Custer,3.8 mi.,43.8692088,-114.2349212
Big Fall Creek Lake,Lost River Drainage,Custer,2.8 acres,43.873989,-114.2473971
Big Lake,Lost River Drainage,Butte,156.1 acres,43.7310158,-113.8580902
Big Lake,Lost River Drainage,Custer,14.2 acres,43.7310158,-113.8580902
Big Lost River,Tributary of Dry Channel Big Lost River,"Butte, Custer",134.9 mi.,43.8088913,-113.3897594
Big Rocky Canyon,Tributary of East Fork Big Lost River,Custer,2.3 mi.,43.3324605,-116.5978298
Big Spring Creek,Mud Lake Drainage,Clark,1.9 mi.,42.6476093,-111.6056832
Big Spring Creek,Tributary of Little Lost River,Butte,12.2 mi.,42.6476093,-111.6056832
Big Spring Creek,South Fork Drainage,Bonneville,3.8 mi.,42.6476093,-111.6056832
Bighorn Canyon,Tributary of Sawmill Canyon,Butte,4.5 mi.,43.6471353,-116.6555585
Birch Creek,Snake River Drainage,Bonneville,14.8 mi.,42.228248,-111.7249543
Birch Creek,Tributary of Willow Creek,"Bingham, Bonneville",7.4 mi.,42.228248,-111.7249543
Birch Creek,Lost River Drainage,"Butte, Clark, Lemhi",46 mi.,42.228248,-111.7249543
Bird Canyon,Tributary of Unnamed Stream,Butte,3.1 mi.,45.7581549,-116.3077287
Bishop Lake,Tributary of Porcupine Canyon,Fremont,17.1 acres,44.384916,-111.5863491
Bitch Creek,Tributary of Teton River,"Fremont, Teton",21.4 mi.,43.972968,-111.0910356
Black Canyon,Tributary of Warm Spring Creek,Butte,4.9 mi.,43.9246252,-116.4457813
Black Canyon,Tributary of Warm Creek,Clark,2.1 mi.,43.9246252,-116.4457813
Black Creek,Tributary of Little Lost River,Butte,7 mi.,48.5926168,-116.2497907
Black Creek,South Fork Drainage,Bonneville,2.2 mi.,48.5926168,-116.2497907
Blacktail Creek,Tributary of South Fork Canyon Creek,Teton,2.9 mi.,45.8173615,-116.2037229
Blacktail Creek,Tributary of Willow Creek,Bonneville,5.4 mi.,45.8173615,-116.2037229
Blaze Canyon,Tributary of Big Lost River,Custer,2.6 mi.,43.7297802,-116.5760468
